title,artist,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri
Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,2024-06-01,0.894,0.791,2,-4.699,1,0.112,0.0183,0.0,0.0388,0.583,105.018,spotify:track:5rb9QrpfcKFHM1EUbSIurX
Like That!,Laila!,2024-06-01,0.533,0.567,4,-8.983,1,0.0755,0.244,0.0,0.132,0.16,120.062,spotify:track:28ZwgrsyIbpX4diz92ACnm
End Of Beginning,Djo,2024-06-01,0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982,spotify:track:3qhlB30KknSejmIvZZLjOD
I Still Think About You,Sweet Boy,2024-06-01,0.515,0.0822,7,-17.92,1,0.0309,0.967,0.909,0.112,0.038,80.974,spotify:track:1gn36xiTbvh5ZdLQblagfP
Crazy,Stephen Kramer Glickman Featuring Marza Wilks,2024-06-01,0.363,0.231,0,-7.893,1,0.0358,0.947,0.000507,0.0987,0.153,81.912,spotify:track:4PhTvtwhgfkn9jlgPEBbue
My Love Mine All Mine,Mitski,2024-06-01,0.504,0.308,9,-14.958,1,0.0321,0.868,0.135,0.158,0.121,113.95,spotify:track:3vkCueOmm7xQDoJ17W1Pm3
"San Sanana (Ffom ""Asoka"")",Alka Yagnik,2024-06-01,0.807,0.715,4,-6.034,1,0.0833,0.244,1.35e-05,0.0943,0.468,130.936,spotify:track:1gZWlVCnwSq9y91hIvkUiB
Beautiful Things,Benson Boone,2024-06-01,0.472,0.471,10,-5.692,1,0.0603,0.151,0.0,0.14,0.219,105.029,spotify:track:6tNQ70jh4OwmPGpYy6R2o9
BK Back,Baby Kia,2024-06-01,0.595,0.417,0,-12.07,1,0.837,0.108,0.0,0.308,0.183,83.9,spotify:track:7cUbIDxRx7wfkI56hdL01D
Give Me Everything (Stripped Down),Archer Marsh,2024-06-01,0.485,0.302,3,-6.704,1,0.101,0.768,0.049,0.0755,0.246,160.947,spotify:track:1o9JJeBKlVxQ9O4j5Qd4Vh
Livin' My Best Life,Dylan Scott,2024-06-01,0.602,0.905,7,-3.68,1,0.0613,0.192,0.0,0.32,0.765,140.021,spotify:track:5UNzhuQS8ak02kW0EXsI24
Chihiro,Billie Eilish,2024-06-01,0.7,0.425,7,-12.531,1,0.0529,0.144,0.879,0.083,0.521,110.015,spotify:track:7BRD7x5pt8Lqa1eGYC4dzj
Dance You Outta My Head,Cat Janice,2024-06-01,0.751,0.712,2,-7.181,0,0.0548,0.0608,0.0,0.1,0.598,115.966,spotify:track:6NMqeF0Ssmi7d3dSUqnOFf
Okay,JT,2024-06-01,0.71,0.556,11,-6.443,1,0.188,0.00179,0.0,0.36,0.372,79.035,spotify:track:0e1KTuawmiFLiK0Lh3nNtM
Million Dollar Baby,Tommy Richman,2024-05-25,0.852,0.697,1,-5.52,0,0.0439,0.0973,0.00037,0.0678,0.919,138.029,spotify:track:5AJ9hqTS2wcFQCELCFRO7A
Tell Ur Girlfriend,Lay Bankz,2024-05-25,0.866,0.741,7,-4.66,1,0.245,0.0933,0.0,0.0297,0.614,135.07,spotify:track:3lMzT16MjAKKXF7pSZn13B
A Bar Song (Tipsy),Shaboozey,2024-05-25,0.722,0.709,9,-4.95,1,0.0273,0.0633,0.0,0.0804,0.604,81.012,spotify:track:2FQrifJ1N335Ljm3TjTVVf
Not Like Us,Kendrick Lamar,2024-05-25,0.898,0.472,1,-7.001,1,0.0776,0.0107,0.0,0.141,0.214,101.061,spotify:track:6AI3ezQ4o3HUoP6Dhudph3
Like That!,Laila!,2024-05-25,0.533,0.567,4,-8.983,1,0.0755,0.244,0.0,0.132,0.16,120.062,spotify:track:28ZwgrsyIbpX4diz92ACnm
Type Shit,"Future, Metro Boomin, Travis Scott & Playboi Carti",2024-05-25,0.64,0.552,2,-5.679,1,0.129,0.0215,0.0,0.119,0.112,144.941,spotify:track:28drn6tQo95MRvO0jQEo5C
"Not A Lot, Just Forever",Adrianne Lenker,2024-05-25,0.354,0.269,1,-13.242,1,0.0297,0.885,0.00035,0.0872,0.304,91.608,spotify:track:11hEwcy9LMEvzAlOYAFhkK
Gata Only,FloyyMenor X Cris Mj,2024-05-25,0.791,0.499,8,-8.472,0,0.0509,0.446,2.41e-05,0.0899,0.669,99.986,spotify:track:6XjDF6nds4DE2BBbagZol6
Fried (She A Vibe),Future & Metro Boomin,2024-05-25,0.814,0.676,11,-4.67,0,0.231,0.00709,1.28e-05,0.119,0.312,162.012,spotify:track:2tudvzsrR56uom6smgOcSf
Scott Street (Slowed Down),Phoebe Bridgers,2024-05-25,0.508,0.417,10,-9.632,1,0.0296,0.77,0.0928,0.0887,0.483,134.944,spotify:track:6Uwi2Qk3H7fM4b4W4ExrAp
Pedro,"Jaxomy, Agatino Romero & Raffaella Carra",2024-05-25,0.788,0.936,9,-6.294,1,0.301,0.0229,1.3e-06,0.311,0.844,151.019,spotify:track:48lxT5qJF0yYyf2z4wB4xW
Nasty,Tinashe,2024-05-25,0.931,0.411,8,-8.433,1,0.0711,0.165,5.26e-06,0.134,0.515,100.002,spotify:track:6NjWCIYu1W8xa3HIvcIhd4
Blue,Billie Eilish,2024-05-25,0.349,0.337,7,-10.671,1,0.0407,0.29,0.172,0.139,0.0365,142.01,spotify:track:2prqm9sPLj10B4Wg0wE5x9
Talk My Shit,BossMan DLow,2024-05-25,0.614,0.463,1,-7.052,1,0.189,0.00923,0.0,0.263,0.252,112.789,spotify:track:6O3WfmAQIgnLBGVzZJVS40
I Like The Way You Kiss Me,Artemas,2024-05-25,0.599,0.946,11,-4.263,1,0.0447,0.000938,0.0106,0.0826,0.747,151.647,spotify:track:2GxrNKugF82CnoRFbQfzPf
Slay!,Eternxlkz,2024-05-25,0.681,0.773,1,-4.706,1,0.0345,0.0863,0.734,0.0978,0.504,129.923,spotify:track:67smGwuPEtA6GAfeweAVNO
Get It Sexyy,Sexyy Red,2024-05-25,0.814,0.632,5,-5.721,0,0.286,0.0931,1.68e-06,0.082,0.505,145.018,spotify:track:0mIdZEa3kU6btHfzbEibz4
Si No Quieres No,Luis R Conriquez x Neton Vega,2024-05-25,0.786,0.786,4,-6.372,0,0.0512,0.445,2.12e-06,0.0947,0.611,100.123,spotify:track:1C84d9abZVKWHT2YYpoean
Symphonia IX,Current Joys,2024-05-25,0.593,0.38,0,-12.682,1,0.0247,0.913,0.573,0.289,0.149,99.323,spotify:track:2V852FRIFO7mFgfiyDMum1
Hell N Back,Bakar Featuring Summer Walker,2024-05-25,0.64,0.673,5,-4.519,0,0.563,0.288,2.15e-06,0.113,0.736,209.942,spotify:track:0jcw8cJf3TNMZN0BXlueML
Lady Killers II (Christoph Andersson Remix),G-Eazy,2024-05-25,0.673,0.567,7,-10.334,0,0.0322,0.0344,0.00506,0.151,0.497,136.005,spotify:track:1xUddpWyEuYl5T3mduKnOJ
Fantasmas,Humbe,2024-05-25,0.344,0.384,0,-7.064,1,0.0317,0.629,0.000445,0.31,0.334,163.664,spotify:track:5rcnAHBclBs0OGV4rATEnR
"San Sanana (Ffom ""Asoka"")",Alka Yagnik,2024-05-25,0.807,0.715,4,-6.034,1,0.0833,0.244,1.35e-05,0.0943,0.468,130.936,spotify:track:1gZWlVCnwSq9y91hIvkUiB
Slow Dancing In The Dark,Joji,2024-05-25,0.517,0.479,3,-7.458,1,0.0261,0.544,0.00598,0.191,0.284,88.968,spotify:track:6rY5FAWxCdAGllYEOZMbjW
